"PC","Eigenvalue","PropVar","CumVar"
1,12.9826,0.5901,0.5901
2,2.9,0.1318,0.7219
3,1.8401,0.0836,0.8056
4,1.1607,0.0528,0.8583
5,0.6551,0.0298,0.8881
6,0.5617,0.0255,0.9136
7,0.3601,0.0164,0.93
8,0.3365,0.0153,0.9453
9,0.2437,0.0111,0.9564
10,0.2157,0.0098,0.9662
11,0.1273,0.0058,0.972
12,0.1197,0.0054,0.9774
13,0.1074,0.0049,0.9823
14,0.0961,0.0044,0.9867
15,0.067,0.003,0.9897
16,0.0584,0.0027,0.9924
17,0.049,0.0022,0.9946
18,0.0427,0.0019,0.9965
19,0.0285,0.0013,0.9978
20,0.0212,0.001,0.9988
21,0.0191,9e-04,0.9997
22,0.0075,3e-04,1
