"province","region","DEDI","PC1","PC2","PC3","PC4"
"Guangdong","East",95.04,9.24,-1.04,1.78,2.03
"Jiangsu","East",80.69,6.56,-0.75,0.39,0.75
"Zhejiang","East",76.54,5.55,0.29,0.67,-0.38
"Shandong","East",76.09,5.58,-0.93,0.9,0.88
"Beijing","East",74.81,4.14,5.93,-1,-0.01
"Sichuan","West",70.37,4.23,-1.47,2.24,2.23
"Henan","Central",65.27,3.71,-1.78,0.68,-0.35
"Shanghai","East",64.47,2.48,4.12,-0.96,-0.57
"Hubei","Central",63.2,2.87,0.55,-0.35,0.15
"Anhui","Central",60.97,2.39,0.43,-0.05,0.18
"Hebei","East",60.17,2.42,-0.75,0.48,0.19
"Fujian","East",60.1,2.39,0.28,0.04,-1.57
"Hunan","Central",58.54,2.13,-0.71,0.53,-0.5
"Shaanxi","West",57.23,1.47,1.09,0.31,-0.24
"Liaoning","Northeast",56.36,1.47,0.64,0.06,-0.75
"Chongqing","West",52.25,0.68,0.93,-0.38,-1.27
"Jiangxi","Central",51.45,0.75,-0.43,0.02,-1.12
"Guangxi","West",49.34,0.15,-0.62,1.78,-1.53
"Yunnan","West",48.5,-0.2,-0.06,1.61,-0.65
"Tianjin","East",47.4,-0.53,2.07,-0.32,-1.82
"Guizhou","West",46.22,-0.54,-0.2,0.98,-0.69
"Heilongjiang","Northeast",45.01,-0.91,0.01,1.39,-0.5
"Shanxi","Central",44.22,-0.76,-0.66,1.01,-1.69
"Jilin","Northeast",42.92,-1.23,0.38,0.38,-1.08
"Inner Mongolia","West",38.6,-2.2,-0.57,2.25,-0.57
"Gansu","West",37.79,-2.3,-0.03,0.98,-0.7
"Hainan","East",37.3,-2.95,2.77,0.02,-0.07
"Xinjiang","West",35.19,-2.79,-0.68,2.21,-1.49
"Ningxia","West",28.15,-4.33,0.68,0.38,-0.83
"Qinghai","West",24.55,-5.37,0.72,1.79,0.3
"Tibet","West",21.2,-6.34,1.56,1.17,2.38
